          18
       40500
 non-polarized
    2.72500000    2.72500000    0.00000000
    2.72500000    0.00000000    2.72500000
    0.00000000    2.72500000    2.72500000
rcell x   rcell y   rcell z   i   j   H   S
  -10.9000  -10.9000  -10.9000      11      12    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      13    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      14   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      11      15    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      16    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      17    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      11      18    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       1    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       2    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       3    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       4    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       5    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       6    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       7    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       8    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12       9    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      10    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      11    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      12    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      13    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      14    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      15    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      16    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      17    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      12      18    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       1    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       2    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       3    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       4    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       5    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       6   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      13       7    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       8    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13       9    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      10    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      11    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      12    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      13    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      14    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      15   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      13      16    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      17    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      13      18    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      14       1    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14       2    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      14       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14       4    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14       5    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      14       6    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14       7    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14       8    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      14       9   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14      10    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14      11    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      14      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14      13    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14      14    0.00000004    0.00000000   -0.00000001
  -10.9000  -10.9000  -10.9000      14      15    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14      16    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      14      17    0.00000002    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      14      18   -0.00000002    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15       1    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15       4    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      15       5    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15       6    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      15       7   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15       8    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      15       9    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      15      10    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15      13    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      15      14    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15      15    0.00000004    0.00000000   -0.00000001
  -10.9000  -10.9000  -10.9000      15      16   -0.00000003    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      15      17    0.00000001    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      15      18    0.00000001    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      16       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       5    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       6   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       7   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       8   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16       9   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      14    0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      15   -0.00000003    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      16      16   -0.00000016    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      16      17   -0.00000018    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      16      18   -0.00000018    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      17       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17       5    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      17       6    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      17       7   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17       8   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17       9   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      17      14    0.00000002    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      17      15    0.00000001    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      17      16   -0.00000018    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      17      17   -0.00000016    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      17      18   -0.00000018    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      18       1   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       2   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       3   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       4   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       5   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       6    0.00000000    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      18       7   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       8   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18       9   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18      10   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18      11   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18      12   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18      13   -0.00000000    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18      14   -0.00000002    0.00000000    0.00000000
  -10.9000  -10.9000  -10.9000      18      15    0.00000001    0.00000000   -0.00000000
  -10.9000  -10.9000  -10.9000      18      16   -0.00000018    0.00000000    0.00000003
  -10.9000  -10.9000  -10.9000      18      17   -0.00000018    0.00000000    0.00000003
