          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620      12       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       7    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      10    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      12    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      14    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      16    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      12      18    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       1    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       2    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       3    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       5    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       6   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      13       7    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      10    0.00000000    0.00000000   -0.00000000
